Candidate_Code,Course,Credit,Grade
C01,Principle of Physics,3,2.5
C01,Computer Network Administration,3,4.0
C01,Science for Health,3,3.0
C01,Project Management in Information Technology,3,3.5
C01,Human Computer Interaction,3,2.5
C01,Data Warehouse and Data Mining,3,2.5
C01,Electronic Commerce,3,3.5
C01,Data Structure and Algorithm,3,1.0
C01,Integrative Programming and Web Technology,3,3.5
C01,Web Technology,3,3.0
C01,Software Engineering,3,4.0
C01,Cloud Computing,3,4.0
C01,Information Technology Research Methodology,3,2.0
C01,Chinese for Communication,3,1.0
C01,Information System Security,3,3.0
C01,Information Technology Seminar,1,3.0
C01,Information Technology Project,3,1.0
C01,Special Topic in Information Technology,3,3.5
C01,Job Internship in Information Technology,6,1.0
C01,Mobile Devices Programming,3,4.0
C01,System Analysis and Design,3,2.5
C01,Multimedia Technology,3,4.0
C01,Decision Support System,3,3.0
C01,Ethics and Information Law,3,4.0
C01,Discrete Mathematics,3,1.0
C01,Fundamentals of Information Technology,3,4.0
C01,Art of Living,3,4.0
C01,English for Everyday Communication,3,3.0
C01,Arts of Using Thai Language,3,1.5
C01,Calculus 1,3,2.0
C01,Management Information System,3,4.0
C01,Fundamentals of Programming,3,3.5
C01,Activities for Health,3,4.0
C01,Sufficiency Economy and Wisdom of Living,3,3.5
C01,Process of Thinking and Problem Solving,3,4.0
C01,Innovation and Technology,3,3.5
C01,Data Communication and Computer Network System,3,4.0
C01,Object Oriented Programming,3,3.0
C01,Computer Platform Technology,3,3.0
C01,Academic English,3,3.0
C01,Statistics for Science,3,1.0
C01,English for Life Skills	,3,3.5
C01,Database System,3,2.0
C02,Computer Science Research Methodology,3,4.0
C02,Microcomputer System and Interfacing,3,3.5
C02,Innovation and Technology,3,4.0
C02,System Analysis and Design,3,1.5
C02,Computer System Security,3,1.0
C02,Human Computer Interaction,3,3.0
C02,Introduction of Artificial Intelligence,3,1.0
C02,Multimedia Technology,3,4.0
C02,Software Engineering,3,2.5
C02,Ethics and Computer Law,3,3.0
C02,Cooperative Education in Computer Science,6,1.0
C02,Image Processing,3,2.5
C02,Mobile Devices Programming,3,3.0
C02,Internet of Things,3,3.0
C02,Computer Science Seminar,1,4.0
C02,Computer Science Pre-Project,3,1.0
C02,Art of Living,3,1.0
C02,Productivity Application,3,3.5
C02,Computer Science Project,3,3.0
C02,Cloud Computing,3,3.5
C02,"Computer Science in Community, Company and Coperation",1,2.5
C02,Data Communication and Computer Network System,3,2.0
C02,English for Life Skills	,3,4.0
C02,Web Programming,3,2.5
C02,Analysis and Design of Algorithms,3,1.5
C02,Fundamental Computer Science,3,1.5
C02,Computer Programming,3,1.5
C02,English for Everyday Communication,3,3.5
C02,Arts of Using Thai Language,3,1.5
C02,Science for Health,3,4.0
C02,Calculus 2,3,3.0
C02,Statistics for Science,3,2.0
C02,Scientific Information for Computer Science,3,3.5
C02,Object Oriented Programming,3,2.5
C02,Calculus 1,3,1.0
C02,Numerical Methods,3,2.0
C02,Human Relations,3,2.5
C02,Discrete Mathematics,3,3.5
C02,Data Structures and Algorithms,3,2.5
C02,Database Systems,3,4.0
C02,Computer Organization and Architecture,3,3.5
C02,Operating Systems,3,2.5
C02,Process of Thinking and Problem Solving,3,4.0
C02,Academic English,3,2.5
C02,Activities for Health,3,4.0
C03,Electronic Commerce,3,4.0
C03,Information Management,3,4.0
C03,Fundamental Chinese,3,3.5
C03,Management Information System,3,4.0
C03,Computer Network Management,3,4.0
C03,Ethics and Information Law,3,4.0
C03,Web Programming,3,4.0
C03,Object Oriented Analysis and Design,3,3.0
C03,System Analysis and Design for Information,3,4.0
C03,Project Management in Information Technology,3,3.5
C03,Multimedia Technology,3,4.0
C03,Chinese for Communication,3,4.0
C03,Information Technology Research Methodology,3,4.0
C03,Mobile Devices Programming,3,3.5
C03,Job Internship in Information Technology,6,1.0
C03,Information Technology Seminar,1,4.0
C03,Information System Security,3,3.5
C03,Information Technology Project,3,1.0
C03,Special Topic in Information Technology,3,4.0
C03,Human Computer Interaction,3,4.0
C03,Thinking and Making Decision Scientifically,3,4.0
C03,Selected Programming Language,3,4.0
C03,Data Communication and Computer Network System,3,4.0
C03,General Psychology,3,4.0
C03,Sufficiency Economy to Sustainable Development,3,4.0
C03,Calculus 1,3,3.0
C03,Introduction to Physics,3,2.5
C03,Introduction to Physics Laboratory,1,4.0
C03,Introduction to Computer,3,4.0
C03,Technical English,3,4.0
C03,English for Communication,3,3.0
C03,Thai for Communication,3,4.0
C03,Life and Social Skills,3,4.0
C03,English in Everyday Use,3,2.5
C03,Systems Information Technology in Organization,3,3.5
C03,Discrete Mathematics,3,3.0
C03,Structure Programming,3,3.5
C03,Physical Education,2,4.0
C03,English for Career,3,2.0
C03,Statistics for Science,3,4.0
C03,Computer Platform Technology,3,3.0
C03,Object Oriented Programming,3,3.5
C03,Database System for Information Technology,3,3.0
C03,Technological Mathematics,3,3.5
C04,Creative Drawing,3,4.0
C04,Watercolor Painting,3,2.0
C04,Art Analysis,2,3.5
C04,Media Art 2,4,2.0
C04,Innovation and Technology,3,4.0
C04,Electronic Print Media,3,3.0
C04,Experimental Art for Media Art,3,3.5
C04,Arts of Using Thai Language,3,1.0
C04,Environment and Development,3,4.0
C04,Human Relations,3,3.5
C04,Art Exhibition Design,3,4.0
C04,Experimental Art,2,4.0
C04,Media Art 3,4,3.5
C04,Writing for Art Thesis,2,2.5
C04,Media Art 4,5,3.5
C04,Job Internship in Art,3,1.0
C04,Art Thesis Preparation,6,4.0
C04,Art Thesis,12,4.0
C04,Lanna Studies,2,2.5
C04,Seminar in Visual Art	,2,4.0
C04,Academic English,3,3.5
C04,Composition 2,2,3.5
C04,Media Art 1,4,4.0
C04,Process of Thinking and Problem Solving,3,3.0
C04,Drawing,2,3.5
C04,Aesthetics,2,2.5
C04,Theory of Color,2,4.0
C04,History and Style of Eastern Art,3,3.5
C04,Visual Art 1,3,4.0
C04,Art of Living,3,2.5
C04,English for Everyday Communication,3,4.0
C04,Traditional Thai Art,2,3.0
C04,Introduction to Composition,2,3.5
C04,Computer Assisted Visual Art,2,4.0
C04,Drawing 1,2,4.0
C04,Visual Art 2,3,4.0
C04,Activities for Health,3,3.0
C04,English for Life Skills	,3,4.0
C04,Contemporary Art,3,3.5
C04,Anatomy,2,2.5
C04,Drawing 2,2,4.0
C04,Composition 1,2,3.5
C04,History and Style of Western Art,3,4.0
C05,Computer System Architectures and Organizations,3,4.0
C05,"Society, Economy, Politics and Law",3,4.0
C05,Artificial Intelligence for Robots,3,4.0
C05,Numerical Methods for Computer Engineering,3,3.5
C05,Database Systems,3,2.5
C05,Exercise for Health,3,4.0
C05,International Relations,2,4.0
C05,Software Engineering,3,4.0
C05,Computer Networks,3,1.5
C05,Signals and Systems,3,3.0
C05,Operating Systems,3,3.5
C05,Computer Engineering Laboratory,2,4.0
C05,Digital Systems Design Laboratory,1,2.5
C05,Internet Programming,3,4.0
C05,Computer Engineering Pre-Project,1,4.0
C05,Physics 2 for Engineers Laboratory,1,4.0
C05,Electrical Circuits for Computer Engineering,3,2.5
C05,Object Oriented Programming,3,4.0
C05,System Analysis and Design for Engineering,3,2.0
C05,Computer Engineering Project,3,3.0
C05,Digital Systems Design,3,4.0
C05,Microprocessor and Interface,3,2.0
C05,Co-operative Education in Computer Engineering,6,1.0
C05,Mathematics for Computer Engineering,3,1.0
C05,Parallel and Distributed Database Systems,3,3.0
C05,"Ethical, Legal and Social Issues in Computer",1,4.0
C05,Physics 1 for Engineers,3,3.0
C05,Thinking and Making Decision Scientifically,3,4.0
C05,English in Everyday Use,3,4.0
C05,Engineering Mechanics,3,4.0
C05,Chemistry for Engineers,3,2.0
C05,Chemistry Laboratory for Engineers,1,3.0
C05,Physics 1 for Engineers Laboratory,1,3.0
C05,Computer Programming,3,3.0
C05,Basic Computer Engineering Training,3,4.0
C05,Physical Education,2,4.0
C05,English for Communication,3,3.5
C05,Calculus 2 for Engineers,3,1.0
C05,Advanced Computer Programming,3,4.0
C05,Introduction to Digital Systems,3,3.0
C05,Calculus 1 for Engineers,3,4.0
C05,General Psychology,3,2.5
C05,Technical English,3,4.0
C05,Discrete Mathematics for Engineering,3,3.5
C05,Electronic Circuits for Computer Engineering,3,2.0
C05,Introduction to Environmental Engineering,1,2.5
C05,Engineering Drawing,3,2.0
C05,Local Literature,3,4.0
C05,English for Career,3,4.0
C05,Data Structures and Algorithms,3,1.0
C05,Physics 2 for Engineers,3,4.0
C05,Sufficiency Economy to Sustainable Development,3,4.0
C05,Elementary Statistics,3,4.0
C06,Computer Science Research Methodology,3,2.0
C06,Cloud Computing,3,3.0
C06,Microcomputer System and Interfacing,3,2.5
C06,Innovation and Technology,3,3.5
C06,System Analysis and Design,3,1.0
C06,Computer System Security,3,1.0
C06,Human Computer Interaction,3,3.0
C06,Multimedia Technology,3,4.0
C06,Software Engineering,3,1.0
C06,Ethics and Computer Law,3,2.5
C06,Computer Science Pre-Project,3,1.0
C06,Electronic Commerce on Internet,3,3.0
C06,Image Processing,3,3.0
C06,Mobile Devices Programming,3,3.0
C06,Computer Science Seminar,1,4.0
C06,Art of Living,3,2.0
C06,Productivity Application,3,2.0
C06,Computer Science Project,3,4.0
C06,Cooperative Education in Computer Science,6,1.0
